	iflood_Time	NOAA_time	NOAA_U_WASD2	NOAA_V_WASD2	iflood_U_WASD2	iflood_V_WASD2	iflood_mag_WASD2	NOAA_mag_WASD2	NOAA_U_BISM2	NOAA_V_BISM2	iflood_U_BISM2	iflood_V_BISM2	iflood_mag_BISM2	NOAA_mag_BISM2	NOAA_U_BLTM2	NOAA_V_BLTM2	iflood_U_BLTM2	iflood_V_BLTM2	iflood_mag_BLTM2	NOAA_mag_BLTM2	NOAA_U_SLIM2	NOAA_V_SLIM2	iflood_U_SLIM2	iflood_V_SLIM2	iflood_mag_SLIM2	NOAA_mag_SLIM2	NOAA_U_KPTV2	NOAA_V_KPTV2	iflood_U_KPTV2	iflood_V_KPTV2	iflood_mag_KPTV2	NOAA_mag_KPTV2	NOAA_U_CBBV2	NOAA_V_CBBV2	iflood_U_CBBV2	iflood_V_CBBV2	iflood_mag_CBBV2	NOAA_mag_CBBV2
0	2018-10-03 07:00:00		0.25881904510252074	0.9659258262890683				2.5	0.1564344650402309	0.9876883405951377				4.9	0.45399049973954686	0.8910065241883679				1.2	0.37460659341591196	0.9271838545667874				2.8	0.45399049973954686	0.8910065241883679				4.8	0.5150380749100542	0.8571673007021123				4.8
1	2018-10-03 08:00:00		0.3907311284892737	0.9205048534524404				1.1	0.46947156278589086	0.8829475928589269				4.3	0.6819983600624985	0.7313537016191705				0.9	0.3583679495453004	0.9335804264972017				5.3	0.42261826174069944	0.9063077870366499				4.5	0.5299192642332049	0.848048096156426				4.7
2	2018-10-03 09:00:00		0.19080899537654492	0.9816271834476639				1.1	0.4067366430758002	0.913545457642601				5.2	0.46947156278589086	0.8829475928589269				0.6	0.3420201433256688	0.9396926207859083				5.1	0.6560590289905073	0.7547095802227721				5.4	0.6946583704589973	0.7193398003386511				5.2
3	2018-10-03 10:00:00		0.3583679495453004	0.9335804264972019				1.3	0.45399049973954686	0.8910065241883679				4.9	0.90630778703665	0.42261826174069955				0.6	0.4539904997395468	0.8910065241883678				4.3	0.7986355100472928	0.6018150231520483				5.1	0.766044443118978	0.6427876096865393				4.3
4	2018-10-03 11:00:00		0.3583679495453004	0.9335804264972017				1.9	0.6018150231520484	0.7986355100472928				6.0	0.6819983600624985	0.7313537016191705				0.7	0.4383711467890774	0.8987940462991669				1.9	0.7660444431189781	0.6427876096865394				5.5	0.7771459614569709	0.6293203910498374				3.5
5	2018-10-03 12:00:00		0.27563735581699916	0.9612616959383189				2.2	0.6560590289905074	0.754709580222772				7.2	0.1908089953765449	0.9816271834476639				0.6	0.5446390350150271	0.8386705679454239				3.5	0.8386705679454239	0.544639035015027				5.1	0.7313537016191703	0.6819983600624985				6.1
6	2018-10-03 13:00:00		0.19080899537654492	0.981627183447664				2.9	0.5150380749100542	0.8571673007021123				5.9	0.5735764363510462	0.8191520442889918				1.3	0.5000000000000002	0.8660254037844387				5.2	0.8090169943749475	0.5877852522924731				4.8	0.7193398003386512	0.6946583704589973				5.2
7	2018-10-03 14:00:00		-0.08715574274765824	0.9961946980917455				3.4	0.5877852522924731	0.8090169943749475				6.7	0.9135454576426009	0.4067366430758002				0.2	0.4226182617406995	0.9063077870366499				5.1	0.8571673007021122	0.5150380749100542				5.6	0.8290375725550416	0.5591929034707469				3.3
8	2018-10-03 15:00:00		-0.13917310096006535	0.9902680687415704				4.4	0.43837114678907746	0.898794046299167				5.6	0.9848077530122081	0.17364817766693036				2.3	0.469471562785891	0.882947592858927				6.0	0.8571673007021123	0.5150380749100542				4.8	0.7880107536067219	0.6156614753256583				3.7
9	2018-10-03 16:00:00		-0.08715574274765824	0.9961946980917455				5.1	0.5735764363510462	0.8191520442889919				5.6	0.8290375725550416	0.5591929034707469				2.1	0.6427876096865394	0.766044443118978				6.2	0.838670567945424	0.5446390350150271				3.9	0.7986355100472928	0.6018150231520483				2.8
10	2018-10-03 17:00:00		-0.017452406437283477	0.9998476951563914				4.4	0.42261826174069944	0.9063077870366499				5.8	0.8191520442889918	0.573576436351046				2.4	0.39073112848927366	0.9205048534524403				6.9	0.7660444431189781	0.6427876096865394				3.4	0.7431448254773942	0.6691306063588581				3.4
11	2018-10-03 18:00:00		6.123233995736766e-17	1.0				4.9	0.25881904510252074	0.9659258262890683				6.1	0.9563047559630354	0.29237170472273677				2.7	0.4539904997395468	0.8910065241883678				6.3	0.7193398003386512	0.6946583704589973				1.8	0.7071067811865476	0.7071067811865475				2.1
12	2018-10-03 19:00:00		-0.017452406437283477	0.9998476951563913				5.5	0.17364817766693041	0.984807753012208				7.3	0.981627183447664	0.19080899537654483				2.8	0.5000000000000001	0.8660254037844387				5.7	0.9876883405951378	0.15643446504023087				2.0	0.838670567945424	-0.544639035015027				1.0
13	2018-10-03 20:00:00		0.052335956242943966	0.9986295347545739				4.6	0.05233595624294397	0.9986295347545739				9.1	0.9612616959383189	0.27563735581699916				3.5	0.4694715627858909	0.8829475928589269				3.7	0.13917310096006544	0.9902680687415703				4.5	-0.5150380749100545	-0.8571673007021121				1.7
14	2018-10-03 21:00:00		0.3583679495453004	0.9335804264972017				4.0	0.0174524064372836	0.9998476951563913				8.9	0.9743700647852352	0.224951054343865				2.7	0.40673664307580015	0.9135454576426009				5.6	-0.03489949670250095	0.9993908270190957				6.5	0.9975640502598242	-0.06975647374412564				1.1
